tld,type,punycode,language_code,translation,romanized,rtl,sponsor,registrar,registrar_name,registrar_web,price_new,price_renew,price_transfer,currency,updated_time
buzz,gTLD,,,,,no,DOTSTRATEGY CO.,spaceship,Spaceship,https://www.spaceship.com/,1.04,25.88,25.88,usd,2024-10-24 10:36:51
bw,ccTLD,,,,,no,Botswana Communications Regulatory Authority (BOCRA),gandi,gandi.net,https://www.gandi.net/,145,280.0,128.25,eur,2025-01-01 15:04:05
by,ccTLD,,,,,no,Belarusian Cloud Technologies LLC,quyu,趣域网,https://www.quyu.net/,99,99.0,99,cny,2025-01-01 14:47:38
bz,ccTLD,,,,,no,University of Belize,sav,Sav,https://www.sav.com/,16.88,16.88,16.88,usd,2025-01-01 14:47:32
bzh,gTLD,,,,,no,Association www.bzh,sav,Sav,https://www.sav.com/,40.73,40.73,n/a,usd,2025-01-01 14:47:32
ca,ccTLD,,,,,no,Canadian Internet Registration Authority (CIRA) Autorité Canadienne pour les enregistrements Internet (ACEI),porkbun,porkbun,https://porkbun.com/,8.98,8.99,8.57,usd,2025-01-01 14:55:21
cab,gTLD,,,,,no,"Binky Moon, LLC",tencent,腾讯云,https://cloud.tencent.com/,35,78.0,75,cny,2024-11-01 19:20:20
cafe,gTLD,,,café,,no,"Binky Moon, LLC",tencent,腾讯云,https://cloud.tencent.com/,48,78.0,75,cny,2024-11-01 19:20:20
cam,gTLD,,,,,no,CAM Connecting SARL,cloudflare,Cloudflare,https://www.cloudflare.com/,14.18,14.18,14.18,usd,2024-11-30 21:56:07
camera,gTLD,,,,,no,"Binky Moon, LLC",spaceship,Spaceship,https://www.spaceship.com/,39.8,39.8,39.8,usd,2024-10-24 10:36:51
camp,gTLD,,,,,no,"Binky Moon, LLC",dotology,dotology,https://dotology.com/,29.99,29.99,29.99,usd,2025-01-01 14:59:45
capetown,gTLD,,,,,no,ZA Central Registry NPC trading as ZA Central Registry,regery,Regery,https://regery.com/,4.99,5.69,6.69,usd,2024-09-11 10:54:05
capital,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,7.49,47.87,47.87,usd,2025-01-01 14:55:21
car,gTLD,,,,,no,XYZ.COM LLC,porkbun,porkbun,https://porkbun.com/,2060.23,2060.87,2060.23,usd,2025-01-01 14:55:21
cards,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,4.61,26.24,26.24,usd,2025-01-01 14:55:21
care,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,15.94,28.3,28.3,usd,2025-01-01 14:55:21
career,gTLD,,,,,no,dotCareer LLC,regery,Regery,https://regery.com/,82.99,82.99,82.99,usd,2024-09-11 10:54:05
careers,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,39.11,47.87,47.87,usd,2025-01-01 14:55:21
cars,gTLD,,,,,no,XYZ.COM LLC,porkbun,porkbun,https://porkbun.com/,2060.23,2060.87,2060.23,usd,2025-01-01 14:55:21
casa,gTLD,,,house,,no,"Registry Services, LLC",spaceship,Spaceship,https://www.spaceship.com/,6.21,6.21,6.21,usd,2024-10-24 10:36:51
case,gTLD,,,,,no,CNH Industrial N.V.,sav,Sav,https://www.sav.com/,2060,2060.0,2060,usd,2025-01-01 14:47:32
cash,gTLD,,,,,no,"Binky Moon, LLC",tencent,腾讯云,https://cloud.tencent.com/,48,78.0,75,cny,2024-11-01 19:20:20
casino,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,4.99,113.78,113.78,usd,2025-01-01 14:55:21
cat,sTLD,,,,,no,Fundacio puntCAT,regery,Regery,https://regery.com/,7.69,18.69,18.69,usd,2024-09-11 10:54:05
catering,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,26.24,26.24,26.24,usd,2025-01-01 14:55:21
